ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000069275,17288.540533144987,0.0359960178110132,0.05519558462864367,0.652153936826554,0.5143018720810377,0.6885635290737262,NUCKS1
ENSG00000069329,8753.99952354512,-0.1149421914846774,0.07856352349763143,-1.4630478161807843,0.14345429543084823,0.28851009011294787,VPS35
ENSG00000069345,5334.372426134688,-0.5644370411777887,0.059807278075023985,-9.43759788682813,3.8142298998774476e-21,1.4645829835799407e-19,DNAJA2
ENSG00000069399,167.2593660012347,0.3762870794699561,0.161028216187615,2.336777295176279,0.0194507670017214,0.059248510785291426,BCL3
ENSG00000069424,620.0730451784032,0.34184237243912563,0.14106442789503493,2.4233066942538355,0.015379936107858455,0.048686990595941435,KCNAB2
ENSG00000069431,50.43737004882775,0.1548065128397301,0.26503200988403897,0.584104964934098,0.5591496946559102,0.7235976114379807,ABCC9
ENSG00000069493,160.48976603902943,0.6822518775218386,0.2438295299854726,2.7980691164129596,0.0051409110535442365,0.01928778465038516,CLEC2D
ENSG00000069509,461.99153240915984,0.10029450467196456,0.08514757105145607,1.1778903782393857,0.2388403114305827,0.4159215283153163,FUNDC1
ENSG00000069535,1585.32514413981,-0.25440461923344776,0.06791483546798577,-3.7459358839700205,1.7972249270973081e-4,0.0010096779748957798,MAOB
ENSG00000069667,1472.0015136185993,-0.12387479685029733,0.12765214444388506,-0.9704090549356323,0.33184263697588934,0.520782150718314,RORA
ENSG00000069696,6.47623460299706,-0.11350661455716478,1.0525132999574012,-0.10784340165749809,0.914119914087754,0.9553976166480885,DRD4
ENSG00000069702,11738.009839590604,-0.7570458884058696,0.07876316945302979,-9.611673751363345,7.137911246852976e-22,2.900514385986234e-20,TGFBR3
ENSG00000069712,42.967631630061554,0.3402487894173294,0.9022892733191867,0.3770950176163356,0.7061029937294168,0.8288125394030343,KIAA1107
ENSG00000069812,16.904878122348286,-0.1476386301078939,0.6667848503242395,-0.22141869305534045,0.824766438664208,0.9020439578590937,HES2
ENSG00000069849,3662.919570386705,-0.2187513406264839,0.10420985113163714,-2.099142626642454,0.03580432978078108,0.09737036398695074,ATP1B3
ENSG00000069869,2056.3920162115487,-0.0427193264637156,0.07571662538332309,-0.5642000848221204,0.5726179701081207,0.7341273441938887,NEDD4
ENSG00000069943,272.8775903622297,-0.0358093573159908,0.14876196346312429,-0.2407158152686481,0.809775380532836,0.8934226894130269,PIGB
ENSG00000069956,13759.781602519266,-0.8577240223529273,0.04686001777404739,-18.303962804469162,7.694325073482255e-75,2.918174025237533e-72,MAPK6
ENSG00000069966,530.6000078694459,0.19444873142086228,0.09033898091330972,2.1524344137494467,0.03136315569812818,0.08777947952901799,GNB5
ENSG00000069974,649.5673639350739,-0.38458971844613554,0.13720159845367208,-2.803099401032105,0.005061406713408585,0.019035749883518926,RAB27A
ENSG00000070010,1257.2985628984138,-0.2921371342423194,0.0832377870844989,-3.5096696401329863,4.486637558528363e-4,0.002291507946499743,UFD1
ENSG00000070018,3642.1300704728824,-0.06791195550223084,0.057667916235820946,-1.1776384502002644,0.238940774242502,0.4159959456853031,LRP6
ENSG00000070047,1143.5108421112468,-0.22676149447863428,0.10815967680393966,-2.096543750677837,0.03603398310632426,0.09781298930091886,PHRF1
ENSG00000070061,13130.844205140631,-0.48570112499445356,0.08416817354057282,-5.770603121859641,7.898830969400322e-9,9.320793007450664e-8,ELP1
ENSG00000070081,2326.8314739058283,0.09265953213189276,0.08639025597702235,1.072569250825439,0.28346442730295895,0.4681028179234105,NUCB2
ENSG00000070087,4076.617211635289,-0.008585621076545494,0.06946868135816658,-0.12358980923043225,0.9016400616774702,0.9490503234796559,PFN2
ENSG00000070159,1241.7911355744297,-0.13901823178635314,0.13387396614561548,-1.0384261838865834,0.29907168461550615,0.48538526111246333,PTPN3
ENSG00000070182,3.728493697082157,1.293820982741847,1.423416655247696,0.9089545060274026,0.36337414056949796,0.5531208400810735,SPTB
ENSG00000070214,6268.339366983112,0.25280504216825767,0.049305172350154976,5.127353381363102,2.9384365551449577e-7,2.787324328614467e-6,SLC44A1
ENSG00000070269,520.6839456693797,0.28245764583484123,0.10817258794999376,2.611175818086337,0.009023149125483725,0.0310945559693455,TMEM260
